layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
38,Linear,0.019122361350924266,4096,4096,1.0,4.6488041331960614,8.37147931798197,-0.9828746370738767,True,63.2,LAYER_TYPE.DENSE,8.371139788245328,3.52,1.801,_orig_mod.model.layers.2.self_attn.o_proj,0,3314.0,4096,313,4096,1,0.20624260352642165,63.2,52.44,success,7.94921875,,4,63.1875,2.380859375
41,Linear,0.01213231652747715,4096,11008,2.6875,2.8830679954602405,6.745928630002672,-0.9925185419347814,True,218.2,LAYER_TYPE.DENSE,7.124150252322558,4.367,2.34,_orig_mod.model.layers.2.mlp.gate_proj,0,23200.0,4096,723,4096,1,0.07003205228959818,218.2,106.3,success,14.7734375,,0,218.25,8.515625
42,Linear,0.06100332278059961,4096,11008,2.6875,4.114797390093761,6.951757309435749,-1.0093953754413647,True,48.9,LAYER_TYPE.DENSE,7.7221022842146665,4.285,1.689,_orig_mod.model.layers.2.mlp.up_proj,0,19260.0,4096,426,4096,1,0.15091242665720245,48.9,394.0,success,6.9921875,,0,48.90625,10.2109375
43,Linear,0.018392494834036377,4096,11008,2.6875,4.8868470113137175,8.809687092661253,-1.017431962825452,True,63.44,LAYER_TYPE.DENSE,8.97037818624363,4.3,1.803,_orig_mod.model.layers.2.mlp.down_proj,0,19900.0,4096,508,4096,1,0.17245094982968973,63.44,313.8,success,7.96484375,,0,63.4375,8.8046875
49,Linear,0.027083201210017727,4096,4096,1.0,2.561499313738348,6.678909343438857,-0.9274221841236743,True,405.0,LAYER_TYPE.DENSE,6.90391626385044,4.17,2.607,_orig_mod.model.layers.3.self_attn.q_proj,0,14920.0,4096,303,4096,1,0.08970579170468387,405.0,36.84,success,20.125,,4,405.0,11.5390625
50,Linear,0.028246130495133914,4096,4096,1.0,3.4432817680802437,9.139492036759865,-0.9330477952925353,True,451.5,LAYER_TYPE.DENSE,9.173762632807955,4.22,2.654,_orig_mod.model.layers.3.self_attn.k_proj,0,16600.0,4096,72,4096,1,0.287943517759833,451.5,36.78,success,21.25,,5,451.5,33.1875
51,Linear,0.04541666479465167,4096,4096,1.0,4.608152395655844,5.341676653948717,-0.9852856132891028,True,14.414,LAYER_TYPE.DENSE,6.128509127888574,3.66,1.159,_orig_mod.model.layers.3.self_attn.v_proj,0,4570.0,4096,149,4096,1,0.2955913616618514,14.414,317.0,success,3.796875,,3,14.4140625,4.46484375
52,Linear,0.028875709940067273,4096,4096,1.0,3.915892491033553,6.803098380418643,-0.9828746370738767,True,54.56,LAYER_TYPE.DENSE,6.823888670723953,3.658,1.737,_orig_mod.model.layers.3.self_attn.o_proj,0,4556.0,4096,271,4096,1,0.17712785445507787,54.56,83.5,success,7.38671875,,3,54.5625,3.45703125
55,Linear,0.011827928205248361,4096,11008,2.6875,3.598733025871398,7.766796862476357,-1.0069843992261385,True,143.6,LAYER_TYPE.DENSE,8.073345825556652,4.375,2.158,_orig_mod.model.layers.3.mlp.gate_proj,0,23700.0,4096,563,4096,1,0.10952353891665925,143.6,165.0,success,11.984375,,0,143.625,10.1953125
56,Linear,0.02666455656328892,4096,11008,2.6875,8.29355568808257,12.343143426404138,-1.0158246453486346,True,30.81,LAYER_TYPE.DENSE,12.772824610361713,4.3,1.488,_orig_mod.model.layers.3.mlp.up_proj,0,20020.0,4096,57,4096,1,0.9660550506921164,30.81,649.5,success,5.55078125,under-trained,0,30.8125,15.796875
57,Linear,0.027965876019235725,4096,11008,2.6875,4.534772147611898,7.904851839343006,-1.0134136691334084,True,55.38,LAYER_TYPE.DENSE,8.428626594779235,4.305,1.743,_orig_mod.model.layers.3.mlp.down_proj,0,20080.0,4096,211,4096,1,0.2433437501501167,55.38,362.5,success,7.44140625,,0,55.375,12.5234375
63,Linear,0.037366761796140846,4096,4096,1.0,3.1244592673186,8.012529332010395,-0.937066088984579,True,366.2,LAYER_TYPE.DENSE,8.107185225746647,4.19,2.564,_orig_mod.model.layers.4.self_attn.q_proj,0,15500.0,4096,104,4096,1,0.208320370382511,366.2,42.34,success,19.140625,,3,366.25,25.59375
64,Linear,0.037950816910827134,4096,4096,1.0,2.772585282929045,7.288866778950185,-0.9418880414150315,True,424.8,LAYER_TYPE.DENSE,7.3919077472477035,4.203,2.629,_orig_mod.model.layers.4.self_attn.k_proj,0,16000.0,4096,326,4096,1,0.09817441886353162,424.8,37.66,success,20.609375,,5,424.75,12.3203125
65,Linear,0.057359091220449354,4096,4096,1.0,4.095650213042858,4.559610588739119,-0.9836782958122854,True,12.984,LAYER_TYPE.DENSE,5.694263162581589,3.658,1.113,_orig_mod.model.layers.4.self_attn.v_proj,0,4550.0,4096,251,4096,1,0.1953957088421174,12.984,350.5,success,3.603515625,,4,12.984375,3.75390625
66,Linear,0.032272056388392256,4096,4096,1.0,4.207372378560027,7.153354795969734,-0.9836782958122854,True,50.16,LAYER_TYPE.DENSE,7.1701985225339175,3.66,1.7,_orig_mod.model.layers.4.self_attn.o_proj,0,4564.0,4096,181,4096,1,0.23840211138185186,50.16,91.0,success,7.08203125,,4,50.15625,4.0703125
69,Linear,0.011842868431262893,4096,11008,2.6875,3.5425252799809184,8.053709816206618,-1.0077880579645473,True,187.5,LAYER_TYPE.DENSE,8.204444627992258,4.387,2.273,_orig_mod.model.layers.4.mlp.gate_proj,0,24300.0,4096,656,4096,1,0.09926893441787536,187.5,129.6,success,13.6953125,,0,187.5,9.6328125
70,Linear,0.03952837354662353,4096,11008,2.6875,9.085405504554103,13.787812650465895,-1.0166283040870432,True,32.94,LAYER_TYPE.DENSE,14.014029693539069,4.305,1.518,_orig_mod.model.layers.4.mlp.up_proj,0,20180.0,4096,23,4096,1,1.6859235911959458,32.94,612.5,success,5.73828125,under-trained,0,32.9375,18.703125
