layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,warning,weak_rank_loss,xmax,xmin
99,Linear,0.0535104324665841,4096,11008,2.6875,5.533811399135157,-2.446712022420354,-1.0037697642725036,True,0.3613,LAYER_TYPE.DENSE,-1.876708451381726,2.15,-0.4421,_orig_mod.model.layers.6.mlp.down_proj,0,141.1,4096,119,4096,1,0.41561380953965704,0.3613,390.5,success,0.60107421875,,0,0.361328125,0.1290283203125
105,Linear,0.04199384796162953,4096,4096,1.0,4.869591927553888,-0.9891358602843834,-0.9354587715077616,True,0.6265,LAYER_TYPE.DENSE,-0.8391294437729122,1.723,-0.2031,_orig_mod.model.layers.7.self_attn.q_proj,0,52.78,4096,18,4096,1,0.9120715641326926,0.6265,84.25,success,0.79150390625,,71,0.62646484375,0.2061767578125
106,Linear,0.03999818390549137,4096,4096,1.0,3.527697387108618,-0.41598580028648985,-0.9322441365541266,True,0.762,LAYER_TYPE.DENSE,-0.046052979217356294,1.742,-0.1179,_orig_mod.model.layers.7.self_attn.k_proj,0,55.25,4096,53,4096,1,0.3472059385848675,0.762,72.5,success,0.873046875,,70,0.76220703125,0.1424560546875
107,Linear,0.06535330819305674,4096,4096,1.0,5.144108531753944,-3.6345337135976354,-0.9595685336600235,True,0.1965,LAYER_TYPE.DENSE,-2.9410203061544036,1.61,-0.7065,_orig_mod.model.layers.7.self_attn.v_proj,0,40.8,4096,44,4096,1,0.6247478677426568,0.1965,207.6,success,0.443359375,,45,0.196533203125,0.08599853515625
108,Linear,0.05600580013426981,4096,4096,1.0,5.202539553428207,-3.8638001273263196,-0.9700160972593369,True,0.1809,LAYER_TYPE.DENSE,-3.370125260274981,1.625,-0.7427,_orig_mod.model.layers.7.self_attn.o_proj,0,42.16,4096,81,4096,1,0.4669488392698008,0.1809,233.0,success,0.42529296875,,40,0.180908203125,0.06243896484375
111,Linear,0.04998634544094477,4096,11008,2.6875,3.9971692936055163,-0.3030080726720002,-0.987696589504329,True,0.84,LAYER_TYPE.DENSE,0.23012093389497879,2.188,-0.0758,_orig_mod.model.layers.7.mlp.gate_proj,0,153.9,4096,88,4096,1,0.3194993202178675,0.84,183.2,success,0.91650390625,,0,0.83984375,0.2000732421875
112,Linear,0.05185040271693375,4096,11008,2.6875,4.628142073211219,-1.0847207984088794,-0.9901075657195552,True,0.583,LAYER_TYPE.DENSE,-0.46383185232196744,2.143,-0.2344,_orig_mod.model.layers.7.mlp.up_proj,0,138.8,4096,55,4096,1,0.48921857735122115,0.583,238.0,success,0.763671875,,0,0.5830078125,0.2059326171875
113,Linear,0.054079080378027555,4096,11008,2.6875,5.9167995665413065,-2.767721672239537,-1.0029661055340948,True,0.3406,LAYER_TYPE.DENSE,-2.164266421400307,2.145,-0.4678,_orig_mod.model.layers.7.mlp.down_proj,0,139.5,4096,80,4096,1,0.549714903126393,0.3406,409.5,success,0.58349609375,,0,0.340576171875,0.1424560546875
119,Linear,0.05532134287274426,4096,4096,1.0,4.252966384771911,-1.1577288864796584,-0.9394770651998052,True,0.534,LAYER_TYPE.DENSE,-0.8234596506020645,1.728,-0.2722,_orig_mod.model.layers.8.self_attn.q_proj,0,53.4,4096,48,4096,1,0.4695252544782167,0.534,100.0,success,0.73095703125,,60,0.5341796875,0.14013671875
120,Linear,0.04463976003024672,4096,4096,1.0,4.155538617231592,-0.6295194609355964,-0.9386734064613965,True,0.7056,LAYER_TYPE.DENSE,-0.4078471450565803,1.74,-0.1515,_orig_mod.model.layers.8.self_attn.k_proj,0,54.94,4096,25,4096,1,0.6311077234463184,0.7056,77.9,success,0.83984375,,60,0.70556640625,0.1827392578125
